horizon_min,RMSE_structure,MAE_structure,model
15,20.46173447521951,12.708855007539269,persistence_raw
30,34.35278015691587,21.654260343230987,persistence_raw
45,46.270805186742955,29.435887081467282,persistence_raw
60,54.22890669985597,34.76432297374932,persistence_raw
15,20.10172557192388,12.073792978660977,persistence_csi
30,33.76229354849319,20.40827554566388,persistence_csi
45,45.71752076117415,27.649197510274686,persistence_csi
60,53.734201740063064,32.25447427314173,persistence_csi
15,25.760302190667556,14.690769777697689,advective_csi
30,41.13059442057329,24.245683198042265,advective_csi
45,52.132887825267716,31.166213255242248,advective_csi
60,59.682019974394215,35.598638234892505,advective_csi
15,66.74656229878241,44.76948753426706,mean_image
30,66.49613582698055,44.20326725714362,mean_image
45,66.36195289985078,43.59487839641726,mean_image
60,66.28198762443238,43.030286035423664,mean_image
15,20.101777928781377,12.074080694239527,ridge_residual_csi
30,33.761175662355555,20.405558235312203,ridge_residual_csi
45,45.70993083763883,27.637577896037715,ridge_residual_csi
60,53.72305201990356,32.24708549070833,ridge_residual_csi
15,20.10312918259802,12.081442472951693,elasticnet_residual_csi
30,33.757761357613006,20.405506797654713,elasticnet_residual_csi
45,45.697395816169724,27.62532944172777,elasticnet_residual_csi
60,53.69902470431081,32.22353524782794,elasticnet_residual_csi
15,20.10172553902273,12.073792981980073,extra_trees_residual_csi
30,33.7622936206333,20.40827563627975,extra_trees_residual_csi
45,45.71752081868726,27.649197542818886,extra_trees_residual_csi
60,53.73408598993182,32.254224330936076,extra_trees_residual_csi
15,20.101725576395125,12.073793070990247,random_forest_residual_csi
30,33.76229355697408,20.408275519810676,random_forest_residual_csi
45,45.717520800265845,27.64919753139768,random_forest_residual_csi
60,53.73420155233421,32.254473686845316,random_forest_residual_csi
15,20.10172554015887,12.07379297921136,hist_gb_residual_csi
30,33.76229364850544,20.40827564195733,hist_gb_residual_csi
45,45.717197867822975,27.64807594276897,hist_gb_residual_csi
60,53.7316851371462,32.24971202045812,hist_gb_residual_csi
15,19.522523040305686,11.870039491973273,hist_gb_patch2x2_residual_csi
30,32.7233951669,19.97836109427991,hist_gb_patch2x2_residual_csi
45,44.69346194198429,27.21326594747851,hist_gb_patch2x2_residual_csi
60,52.944833013783324,32.048161080294136,hist_gb_patch2x2_residual_csi
